address, balance, time
terra1denr25fe80ra4ktwsvpgcdk6rv8hrwstq6xsp8, 1814.344380, 
terra10nxpnrcm78rlevvt28ztucwf6xcqts26yj4vfl, 1803.308505, 
terra1jlxv4hnf2mtym9x4fg7dsepgnt47rgfan228gt, 1802.094065, 
terra1q2y3x3rfqfcxf6r736ckmc280rqmhdqzkag4u4, 1800.807900, 
terra1qurajuu6wvw6ghcj3x0lqcgaakzerfk6gxleca, 1797.839671, 
terra1w3crp2m368vq5epc7euyzsycadljv0v00v95pw, 1793.453693, 
terra1c4s6rrxszsamkcwryk4t284vp8kywwa89mjw0a, 1777.360900, 
terra1vjd5ae037gkpx82a4lvucmmtcj0lwvunp30mnx, 1753.583346, 
terra1t2zxl807zcg4sl5w350dem845pyse53husfz2y, 1746.950376, 
terra1w5vfgctspwsxsvh4qhe76unuad7zzqzmescy2r, 1744.953440, 
terra1ynq86wqt7h4jrrjwqh6gpwsglxgqd9qaqjytd2, 1744.782392, 
terra1j04my9mqnv34y30fvf6syedqwsee6kg26747f6, 1728.623887, 
terra1zh7paagj8y9fsjq53ggljrcmn5cwv33sh57ujd, 1712.671601, 
terra160ql286cevpungx9mzv5a087jysvdllv722kjm, 1699.973652, 
terra1gy0a7nfnk58ztspskesc6aeczj8dm5jux68a2g, 1690.915254, 
terra1w0hhr32ha8qfpwayteljt4tsfret23fyh7ff95, 1685.905168, 
terra1sva3806f3f0e057ldns5ycw0xw4u4j49faupcj, 1668.583631, 
terra105x2td72hkva0xmk2s8hy54e74054aq4ksgx67, 1662.772651, 
terra1t0xh928r8taurgwnq6z4gnscecmjsfnvgrrlhm, 1621.958434, 
terra16ryfy3s48cs6gz8ke6a3qevheug2dt6zew6qf0, 1618.704018, 
terra10m8akwg6kfkhurv3v4qh8p7gvzmdvkeyxgklpt, 1606.382877, 
terra19wscnrpa8ker6l6jxea89s2kszxu5nh4z9suxg, 1598.560732, 
terra1erdzfa0y4uk7xakf7cadrqjyndka083rz0ns8y, 1563.557998, 
terra1y45vheemwpq7p8mnafpyqxl9ea3jkuz5thlwre, 1543.261600, 
terra1ep3syd8dp5uzdsy0s2yn4us8ykrvupk73tjf32, 1534.832224, 
terra1ph2v3rxwyn9jctpduvxy06a75rgfyqlt0hxv7s, 1522.858137, 
terra1vtev7gmh4a3jvrfdg0a8r6ez56ep0xv7dle6n4, 1518.387905, 
terra1jl6mm4h2uqu4hyvv2ne56x2jn6muez5kkvn2c2, 1512.858224, 
terra16xzryl5w0j98hf39dfs0nmatedzvnjf3anvjj9, 1511.257287, 
terra1kezhmynnhcvmx328e5rzwkwjgd20r2p0gcsymd, 1504.729825, 
terra1f2fdsggj9gfmehrvvszt5chwju93tpqumgjwat, 1503.996313, 
terra13tqa7dackdrv88un7w5ugmv0shhdjsnjaac5np, 1500.508532, 
terra19l4n2nn563zdg2rhqy0yjg3fm6hw22ntnzzmnk, 1500.009880, 
terra10d2rc5cetv9rwqj5lmyg4m9a0xcarwmypq7ann, 1476.790984, 
terra135qng7twsgzs69t3z95cv6ry95s50xfcegntwm, 1476.613000, 
terra1t28h4fg8gjpggvq985d2zz569qj8hpxnsxcx93, 1460.165058, 
terra1r3v68mlqj69gsm0cc36vlet69xky3z2rpnpyry, 1453.674603, 
terra12r5y9w2dzw00dzpjja6cf594mrv95s3rdjlu5r, 1417.463171, 
terra18yrudk7ahu04w3qqgt58wejax9rqtmhyxs4qd9, 1399.705146, 
terra1mxu9m3ahuj4xquajd9xrxfwsjje5mnkalmd9fn, 1371.785345, 
terra1kd0zszg2xhxyafvmssfv9n30hgwy0kxgqqtv80, 1368.462198, 
terra1jtkyynp8q6vw8runzphs8m82cfp0qw5xkkngvf, 1354.334073, 
terra1hpscxjqgel7uykh575tu6wd07mdn0ur8dkxjdk, 1350.315651, 
terra1fy35znd423pwnmy54e8tpy9rt2thudkglgwk8k, 1340.175626, 
terra1gjrxlszmmze9qls02ertz3c837k2wscflgste2, 1333.569408, 
terra1jultlfcfvn5jnrsvl9u5zej4t33fm7hnxl8l48, 1330.458400, 
terra1g0gwmfsa5nvgetdhxq0duykfdzevsgd0ulg942, 1324.057794, 
terra1jxcxgkd4xpl0t3g4raqkx2qc0w8h4sjjaqv0kl, 1318.625412, 
terra10fj6wl2rarupyxj9n8u5sex20te69e32nn266q, 1313.081264, 
terra1r4kgfeqa3r9xwxjqa86pxnt7tggs7fltp87mzx, 1299.453431, 
terra13rm7qmqc82cxdz24a57yr0uzdqyfzd457ugkkc, 1295.092723, 
terra1hrfeehxkpcp54d8s50denfm93qcpvvypk4lgxn, 1290.699298, 
terra16z84jl66yk67rxuemvyx3n5dr36f9e8mfgqc4c, 1286.802741, 
terra1pjxtkrzp7na6z2ddfgmgf65z8e33cc69wzl39m, 1284.529118, 
terra149ha8zjg2dkdwp3z4equ9rj29m3e224cps98tt, 1274.187476, 
terra18klz6asa9jzdrlr0yr578lf904lmdwwe7w0lkr, 1256.419189, 
terra1wqlu2wx4c57n7a4s2r0k8q6nz5l8huqvu78nt5, 1253.454032, 
terra1cjc0v40vs45sj7tlndffc3efulyclssnch58uz, 1248.556011, 
terra1fv5c74dldxhlmq225szqrxygsekpgz6t4amexd, 1239.406658, 
terra1jx3pxxlxcgw0usg7s5c0m535duk79xplqcmmtf, 1218.340156, 
terra1spxgm8upjeeymzg3q6khrmd0h0lt39k3pzgved, 1217.636273, 
terra1te255m2eydaykhkq9n9mt7df5c9wnfjlusehlc, 1210.679801, 
terra1twpqk0ujz8qdkm03cagvatg4jgwf5e0m6g7vnx, 1208.539832, 
terra1wggv99pudhkxxd2s43ak2we3g8m6end6urlekv, 1208.024326, 
terra1fpnm3djvn5f8ptg99echhv6aqqk96uhmejt4d5, 1204.545283, 
terra1nvs8qwc679f5glmze7pe830xsakvdcj8kjuugz, 1201.732799, 
terra1y5jpdaawh074uu5y50sc9t2wzfygraatwq98za, 1197.777911, 
terra1qhd99kqytd3us0rjrkw9zv5sjusplg947v9kvg, 1182.685654, 
terra1pmaltcu0x97x8j5klc8xluaapkzcvztckaz98f, 1179.980227, 
terra1twj95t9xyhsde37q4f5nc2r4ghgq7fwsyg35h7, 1164.076890, 
terra1eycaafl6n5rxn2erl4lwpz6ljcr82atzky3wdd, 1154.000000, 
terra1ywcj0qmuvfv6v97esqd6qyptsw2cqzya8fx4kf, 1142.599732, 
terra12gg0877vr98l97swvt064s7hc3y58fu6ehmlfy, 1141.392689, 
terra1pj67ffqeya374q2a4wa7uqpgw68u8muk0jpt42, 1139.979809, 
terra1wkyueu955ecnyp6df0ytdvw3e3sd39w5w5mdqn, 1136.000000, 
terra1el9tpqat686lczgjyfspzs66wuvjd9jjhxuelf, 1134.592779, 
terra1f4pnea5zqhqtr929mswkcw9uktqxnd0dm98wc3, 1133.206133, 
terra1w35qlfw0dhjthzkprwzr62cthedtyps0lqelk3, 1131.838092, 
terra19pkqe9k44srfu2j76y8ct76ffzue2v0w0fd4y2, 1131.032064, 
terra128ure6dq9w8ef76pvfq4ay64jczjvth97dq4s2, 1130.642610, 
terra198yxhs0y3mcphvk7auwvwev5myw8xavg8ddkmd, 1129.409652, 
terra1fkgfwcd0an2cgk8yyh7jnx35waxapjzf75egd4, 1128.995728, 
terra19j75q6uudsx65xerld65g3vazq3f63llkn0ree, 1117.017474, 
terra1w4sz7j3plw8k43qvdtvq2nc93zs3duu9jlh8vs, 1112.763885, 
terra1jwpxfther7l76ph0tlgguj6lz3tv6vu68h5whf, 1105.104097, 
terra1vp9j58qhcgcss589dyfdc8dq8qujutaz4y8uzc, 1102.672340, 
terra1kg0cnh0ntuk7peqaq0mkv8fy7z8j246fedhaag, 1094.590860, 
terra1ps5c3k6fhz5v5lvz0u8c2x85j0su25xp4jyuws, 1092.858085, 
terra14lsth0ernuvvleesun5rehf46s8q3k5u5knnkk, 1091.039433, 
terra19e63em2cl2lm5uuj9ytz3s0vhyja3wsqwa3jc5, 1081.826475, 
terra1e67hqlgsjavvdma3shewndsdwqwauc2zsx3aax, 1078.803110, 
terra1tfdpjswrh2uda55usxmj426jxfx64qlct2n885, 1074.205897, 
terra1y234hfaegjnkw6cmwvkr079qsydjmncqhq4my7, 1067.005125, 
terra1ezsywexafysry9rpcm6lv6uc2p6kw0c4mhgkqe, 1061.652260, 
terra1rrz5f9mug7jk4hfd6skajv434yydfqctudm4ah, 1061.222804, 
terra1fjq0zzwypmj0mn9k48d4sga6ywwp427rhw6h8z, 1057.967254, 
terra1vplqtxxk5wqug7c5e59ppjqthmv87sm8n8cup3, 1048.657282, 
terra1dzskn3mudea43m9xr9mzan45x2hd3uyageu2we, 1047.465655, 
terra1xspag4d3jd0ur5ca2pgnl0nf7lenudpuu0cs74, 1044.544756, 
terra167p76xsxle5he9yqng57ryqwl90mmtxck3qfz6, 1042.228079, 
terra14cp9cazhlkn427emrjk0n9q3n2q7qcn798res2, 1030.758998, 
terra1p4yfa7r67tfjg46g7swmg7apaju5qxzendeyjq, 1019.486781, 
terra123gn6j23lmexu0qx5qhmgxgunmjcqsx8g5ueq2, 1017.839114, 
terra18w4vtt25cmxfwq43y6u884un9suk2mh6p4stw6, 1015.205701, 
